time,open,high,low,close,tick_volume,spread,real_volume
2020-05-07,106.211,106.65,106.133,106.364,38817,11,0
2020-05-08,106.366,106.727,106.217,106.628,31300,11,0
2020-05-10,106.534,106.952,106.49,106.918,2769,11,0
2020-05-11,106.918,107.763,106.771,107.584,36785,11,0
2020-05-12,107.585,107.68,107.069,107.164,32246,11,0
2020-05-13,107.165,107.261,106.738,106.93,36967,11,0
2020-05-14,106.929,107.369,106.77,107.353,32569,11,0
2020-05-15,107.352,107.427,106.853,106.988,29791,11,0
2020-05-17,107.062,107.268,107.028,107.208,2425,11,0
2020-05-18,107.208,107.498,107.064,107.378,31419,11,0
2020-05-19,107.378,108.08,107.3,107.819,37778,11,0
2020-05-20,107.819,107.979,107.333,107.59,28674,11,0
2020-05-21,107.589,107.843,107.523,107.638,30088,11,0
2020-05-22,107.638,107.757,107.318,107.596,23665,11,0
2020-05-24,107.528,107.776,107.517,107.743,1989,11,0
2020-05-25,107.744,107.776,107.624,107.684,15673,11,0
2020-05-26,107.684,107.917,107.397,107.492,28706,11,0
2020-05-27,107.491,107.94,107.362,107.801,38360,11,0
2020-05-28,107.802,107.896,107.545,107.639,33716,11,0
2020-05-29,107.639,107.886,107.075,107.773,47330,11,0
2020-05-31,107.635,107.793,107.633,107.705,2524,11,0
2020-06-01,107.705,107.851,107.374,107.554,34052,11,0
2020-06-02,107.554,108.831,107.515,108.826,43397,11,0
2020-06-03,108.827,109.035,108.419,108.995,44971,11,0
2020-06-04,108.994,109.196,108.611,109.142,48866,11,0
2020-06-05,109.142,109.843,109.04,109.565,48579,11,0
2020-06-07,109.547,109.67,109.513,109.618,2559,11,0
2020-06-08,109.617,109.619,108.23,108.415,44206,11,0
2020-06-09,108.415,108.415,107.617,107.792,54118,11,0
2020-06-10,107.793,107.868,106.885,106.995,56407,11,0
2020-06-11,106.996,107.229,106.568,106.797,57912,11,0
2020-06-12,106.798,107.549,106.581,107.334,56695,11,0
2020-06-14,107.31,107.548,107.283,107.315,3904,11,0
2020-06-15,107.316,107.495,106.995,107.479,47514,11,0
2020-06-16,107.48,107.633,107.209,107.394,52211,11,0
2020-06-17,107.394,107.437,106.861,106.872,36832,11,0
2020-06-18,106.871,107.125,106.662,106.994,44223,11,0
2020-06-19,106.995,107.04,106.759,106.81,29951,11,0
2020-06-21,106.747,106.88,106.714,106.83,2808,11,0
2020-06-22,106.83,107.005,106.763,106.899,27585,11,0
2020-06-23,106.899,107.215,106.069,106.416,49537,11,0
2020-06-24,106.415,107.12,106.378,107.024,39265,11,0
2020-06-25,107.024,107.447,107.015,107.156,38001,11,0
2020-06-26,107.156,107.354,106.794,107.178,29019,11,0
2020-06-28,107.066,107.229,107.066,107.226,1905,11,0
2020-06-29,107.226,107.878,107.037,107.584,33616,11,0
2020-06-30,107.584,107.989,107.518,107.988,37165,11,0
2020-07-01,107.989,108.158,107.334,107.373,35493,11,0
2020-07-02,107.374,107.718,107.328,107.493,28233,11,0
